[0] stm_hospital_001 | file=935_stomach_hurt_chat.yaml | intent=complaint | kws=['去医院', '急诊', '胃镜', '检查', '看消化科'] | utt=['去医院', '看急诊', '胃镜检查'] | sibs=ws_boss_check_003(203_work_slack):老板查岗 | hd_chronic_001(936_headache_complain):一直头痛 | in_see_gastroenterology_001(III7_indigestion):{user_addr}想看消化科 | bf_seedoctor_001(MMM8_burnout_founder):该去看医生了喵 | cc_yiyuan_001(041_catch_a_cold_sick):去医院 | bl_doctor_001(III5_bloating):{user_addr}要不要看医生
[25] edc_xiaban_001 | file=354_evening_dinner_chat.yaml | intent=playful | kws=['终于下班', '解放了', '自由了', '回家路上', '收工'] | utt=['终于下班', '解放了', '自由了'] | sibs=sow_off_work_001(548_slack_off_work):下班 | bof_xiacai_010(008_busy_or_free):下班啦 | awt_xiaban_001(730_after_work_tired):下班了 | ss_test_done_005(202_study_scene):考完了 | ws_off_work_007(167_work_slack):下班啦 | tot_finally_off_010(821_tired_overtime):{user_addr}终于下班了
[26] cc_cc_motoutou_003 | file=223_clingy_companion.yaml | intent=playful | kws=['摸头', '摸摸头', '头痒', '摸下', '求摸头'] | utt=['摸头', '摸摸头', '求摸头'] | sibs=hpb_motou_001(363_head_pat_beg):求摸头 | ah_motou_001(436_ask_for_headpat):摸头 | ac_motou_001(124_acting_clingy):摸摸笨猫 | hp_motou_001(396_head_pat_beg):摸摸头 | sp_head_pat_005(189_seek_praise):摸摸头 | hpb_pat_001(534_head_pat_beg):摸摸头
[27] greet_night_001 | file=00_greetings.yaml | intent=greeting | kws=['晚安', '睡了', '我先睡', '早点休息'] | utt=['晚安', '睡了', '主人晚安'] | sibs=gn_goodnight_001(185_goodnight_chat):晚安 | ln_wanan_001(253_late_night_chat):{user_addr}晚安 | sla_wanan_003(007_sleepy_already):晚安 | ser_wanan_001(370_sleep_early_remind):晚安 | ng_wanan_001(121_night_goodnight):{user_addr}晚安 | nf_wanan_001(220_night_farewell):晚安
[28] ss_question_difficult_010 | file=168_study_struggle.yaml | intent=complaint | kws=['题太难', '不会做', '钻牛角尖', '卡住了', '解不出'] | utt=['这题太难', '不会做', '卡住了'] | sibs=ist_zhuanniu_009(034_insomnia_thinking):钻牛角尖 | sd_overthink_001(149_self_doubt):想太多 | shp_huishengqi_001(360_sulky_hmph_pout):生闷气 | sa_difficult_001(139_study_anxiety):题难 | wcm_comfort_006(462_want_comfort):{user_addr}想不开 | lnc_dark_thought_001(517_late_night_chat):半夜胡思乱想
[29] cld_doctor_001 | file=934_cold_caught_sick.yaml | intent=complaint | kws=['去医院', '看医生', '挂号', '输液', '打针'] | utt=['去医院', '看医生', '挂号'] | sibs=fa_want_hospital_001(II6_fever_anxiety):要不要去医院啊 | ptc_vetvisit_001(510_pet_chat):去宠物医院 | bf_seedoctor_001(MMM8_burnout_founder):该去看医生了喵 | stm_hospital_001(935_stomach_hurt_chat):去医院 | cc_yiyuan_001(041_catch_a_cold_sick):去医院 | bl_doctor_001(III5_bloating):{user_addr}要不要看医生
[30] psc_meng_001 | file=715_pre_sleep_chat.yaml | intent=question | kws=['做什么梦', '梦到什么', '想梦到', '美梦', '想做梦'] | utt=['你做什么梦', '梦到什么', '{user_addr}想梦到啥'] | sibs=ng_dream_001(121_night_goodnight):昨晚做梦 | ser_mengjing_001(370_sleep_early_remind):梦境 | gn_sweet_dream_002(185_goodnight_chat):做个好梦 | had_meihaoxizhi_005(035_had_a_dream):美梦 | rq_dreams_meaning_007(208_random_question):梦的意义 | dc_dream_001(165_dream_chat):做梦了
[31] rp_xinnian_001 | file=274_red_packet.yaml | intent=playful | kws=['新年红包', '压岁钱', '过年红包', '春节红包', '红包雨'] | utt=['新年红包', '压岁钱', '过年红包'] | sibs=fm_fm_chunjie_005(231_festival_moments):春节 | rps_holidayone_008(641_red_packet_surprise):过年红包 | sm_red_packet_001(170_surprise_moment):收到红包 | rs_old_006(346_redpacket_surprise):长辈红包 | shp_red_packet_001(116_sudden_happy):收到红包 | rs_holiday_008(346_redpacket_surprise):节日红包
[32] num_006_001 | file=NUM_000_008.yaml | intent=playful | kws=['666', '6', '6块', '6666', '牛6'] | utt=['{user_addr}666啊', '真6', '6666'] | sibs=eh_haha2_001(052_emoji_heihei_laugh):666 | dl_lucky_001(666_devil_lucky_chat):{user_addr}666 | et_xxx_001(129_emoji_text):666 | nm_nm_666_003(250_number_meme):666 | stc_lol_009(660_smile_til_cry_chat):666{user_addr} | er_er_baipiao_008(229_emoji_react):666
[33] mwc_wash_007 | file=675_morning_wash_chat.yaml | intent=complaint | kws=['热水器', '没热水', '冷死', '等水', '等热'] | utt=['没热水{user_addr}', '冷死', '等水'] | sibs=dwm_warm_002(466_dress_warm_care):{user_addr}好冷 | wt_cold_001(143_weather_chat):冷死了 | fsc_first_002(577_first_snow_chat):{user_addr}路滑摔了一跤 | wwr_haoleng_002(016_wear_warm_remind):好冷 | ba_heater_001(AA8_broken_appliance):热水器没热水 | sc_sho_003(603_shower_concert_solo):水太烫
[34] lnc_quiet_001 | file=076_late_night_call.yaml | intent=playful | kws=['安静', '好安静', '世界很安静', '半夜安静', '只剩两人'] | utt=['好安静啊', '世界都睡了', '{user_addr}只剩我们'] | sibs=mn_yeshen_010(418_midnight_chat):世界好安静 | lh_bushuo_005(305_lianhong_blush_dodge):别说话 | nt_nt_anye_003(242_night_topic):夜深了 | nc2_silent_001(134_night_chitchat):夜里好静 | lno_anjing_004(002_late_night_owl):夜里好安静 | ln_quiet_night_003(154_late_night_chat):晚上好安静
[35] ggc_gacha_001 | file=658_game_gacha_chat.yaml | intent=playful | kws=['抽卡', '歪了', '出货', '保底', '十连'] | utt=['{user_addr}抽卡歪了', '保底没出', '十连一个金'] | sibs=gs_pull_card_005(169_game_session):抽卡中 | gv_choka_001(138_game_vibes):抽卡了 | gg_gacha_001(201_gacha_game):抽卡 | gpd_pullgacha_001(643_gacha_pull_dream):抽卡 | gpl_pull_001(546_gacha_pull_luck):抽卡 | gpl_choukake_001(737_gacha_pull_luck):抽卡
[36] te_awsl_005 | file=191_text_emoji.yaml | intent=playful | kws=['awsl', '啊我死了', '太可爱', '好可爱', '萌死'] | utt=['awsl', '啊我死了', '太可爱了'] | sibs=er_awsl_004(158_emoji_reactions):awsl | ab_awsl_001(403_awsl_burst):awsl | res_awsl_001(358_random_emoji_spam):awsl | et_awsl_001(129_emoji_text):awsl | eh_awsl_001(052_emoji_heihei_laugh):awsl | aco_awsl_001(334_awsl_cute_overload):awsl
[37] lz_tangping_001 | file=800_lazy_sunday_morning.yaml | intent=playful | kws=['周日躺平', '一动不动', '大字躺', '躺尸一天', '周日发废'] | utt=['周日躺平', '一动不动', '大字躺'] | sibs=ms_full_body_006(681_morning_stretch):{user_addr}床上摊成大字 | tcm_jam_001(492_traffic_commute):堵车了 | lm_lay_flat_009(215_lazy_mode):躺尸 | tj_yidongbudong_001(Z5_traffic_jam):车一动不动 | nfs_dujibian_001(734_neko_fish_snack):打哈欠 | sp_mozhua_005(449_scratching_post):伸懒腰
[38] wd_xiaolao_001 | file=256_what_doing.yaml | intent=playful | kws=['闲着', '没事干', '无聊中', '没事做', '没啥事'] | utt=['闲着呢', '没事干', '无聊中'] | sibs=wdn_bored_001(081_what_doing_now):没事干 | rc_idle_001(150_random_chatter):闲着 | wdn_meiganma_005(005_what_doing_now):没干嘛 | me_random_001(142_micro_emotion):无聊 | cc2_cc2_xianjian_004(251_cat_chitchat):闲了 | wd_ganma_005(422_what_doing_now):发呆呢
[39] ss_promotion_005 | file=196_sudden_surprise.yaml | intent=playful | kws=['升职', '涨工资', '升级', '加薪', '转正'] | utt=['升职了', '涨工资', '加薪'] | sibs=sm_promotion_005(170_surprise_moment):升职了 | ss_raise_001(133_sudden_surprise):加薪了 | su_su_jiang_007(237_sudden_surprise):升职 | urp_chengjile_001(732_unexpected_red_packet):成绩好 | pt_jiangli_001(275_praised_today):拿到奖金 | rps_promotion_001(540_red_packet_surprise):升职
[40] fg_wuwen_001 | file=894_foggy_morning_blur.yaml | intent=complaint | kws=['雾天潮湿', '雾凝水', '衣服潮', '头发湿', '鞋底滑'] | utt=['雾天潮湿', '{user_addr}衣服潮', '雾凝水'] | sibs=src_dryhair_010(622_sudden_rain_caught):吹头发 | rw_rai_002(589_rainy_window_mood):出门没带伞 | mwc_wash_006(675_morning_wash_chat):洗头了{user_addr} | rd_chaoshi_001(785_rainy_day_mood):太潮了 | caw_humid_day_004(840_chitchat_about_weather):{user_addr}湿气重 | uf_caught_rain_002(713_umbrella_forgot_again):{user_addr}落汤鸡
[41] mrn_moonlight_004 | file=348_moon_round_night.yaml | intent=playful | kws=['月光', '月色', '月光洒', '月光下', '银白色'] | utt=['月光', '月色', '月光洒'] | sibs=nm_yueliang_001(065_night_moon_stars):月亮 | ln_moon_006(187_late_night):月亮好圆 | mpt_yueying_010(036_moon_pretty):月光 | nt_yueliang_001(242_night_topic):月亮好圆 | nt_nt_yueguang_010(242_night_topic):月光 | ln_moon_007(154_late_night_chat):月亮好圆
[42] cc_xianqi_009 | file=295_chicu_jealous.yaml | intent=complaint | kws=['嫌弃', '嫌我烦', '嫌弃笨猫', '嫌脏', '嫌闹'] | utt=['嫌弃笨猫', '嫌我烦', '嫌脏'] | sibs=hpt_disdain_005(333_hng_pout_tsundere):瞧不起{user_addr} | ewc_eat_004(468_eat_well_care):{user_addr}挑食 | ps_sajiao_005(425_pouty_sulking):不爱我了 | pcl_lk_002(763_paw_clean_lick):爪子脏了 | jvg_xianqi_008(011_jealous_vinegar):嫌弃我啦 | hh_heng_003(405_hmph_huff):不理我
[43] wcy_company_003 | file=464_want_company.yaml | intent=playful | kws=['一起做啥', '一起干啥', '一起看剧', '一起吃', '一起玩'] | utt=['{user_addr}一起做啥', '{user_addr}一起干啥', '一起看剧'] | sibs=epl_renmao_010(018_eat_properly):一起吃 | pw_chifan_009(298_peiwan_company):一起吃饭 | ay_changshi_012(291_ate_yet_question):一起吃饭 | ay_xizhanzhu_001(257_ate_yet):一起吃饭 | aly_chiwan_006(006_ate_lunch_yet):一起吃饭吗 | sr_chifan_001(281_shovel_return):吃饭了吗
[44] ayt_what_eat_001 | file=520_ate_yet_meal.yaml | intent=question | kws=['吃啥好', '吃什么', '选啥吃', '吃啥子', '拿不定主意'] | utt=['吃啥好', '吃什么好', '选不出来'] | sibs=lb_wufan_001(254_lunch_break):中午吃什么 | ay_chishenme_002(291_ate_yet_question):吃啥呢 | mwk_zaocan_003(001_morning_wakeup_chat):早饭吃什么 | za_zaocan_003(285_zaoan_morning_greeting):早饭吃什么 | fe_dinner_what_010(695_fridge_empty_sad):{user_addr}今晚吃啥 | aly_chiruan_004(006_ate_lunch_yet):吃啥呢
[45] mrn_quiet_007 | file=348_moon_round_night.yaml | intent=playful | kws=['夜深人静', '静悄悄', '万籁俱寂', '夜安静', '寂静'] | utt=['夜深人静', '静悄悄', '万籁俱寂'] | sibs=lnd_yedezong_001(733_late_night_dreaming):夜深人静 | lnc_quietnight_001(484_late_night_chat):夜深人静 | lno_yejing_009(002_late_night_owl):夜深人静 | ln_anjing_001(253_late_night_chat):夜深人静 | ln_quiet_night_003(154_late_night_chat):晚上好安静 | lnc_quiet_night_001(517_late_night_chat):夜深人静
[46] atc_changjianyongdu_001 | file=736_anti_trope_cold.yaml | intent=complaint | kws=['假高冷', '装高冷', '故作冷酷', '故意装', '表演高冷'] | utt=['假高冷', '{user_addr}装高冷', '故作冷酷'] | sibs=sc_zhuangxxiang_001(284_suddenly_cold):装高冷 | tl_aojiao_004(414_tsundere_lie):假冷淡 | ets_ls_006(762_ear_twitch_listen):耳朵躲开 | hps_hng_009(472_hng_pout_sound):{user_addr}假傲娇 | pb_zhuangkan_009(413_pretend_blind):笨猫装高冷 | hpc_cl_002(760_hidden_purr_call):偷偷呼噜
[47] sbc_sneeze_010 | file=559_sneeze_burst_chat.yaml | intent=complaint | kws=['受凉', '鼻塞', '流鼻涕', '过敏', '花粉'] | utt=['花粉季又来了', '{user_addr}估计是过敏了', '鼻涕一直流'] | sibs=sbc_sneeze_004(559_sneeze_burst_chat):是不是受凉了 | sbc_sneeze_008(559_sneeze_burst_chat):鼻塞难受 | sbc_sneeze_002(559_sneeze_burst_chat):鼻涕一直流 | wc_sick_warm_009(172_warm_clothing):感冒了 | dw_chuannuan_008(430_dress_warm_remind):暖气不热 | sbc_sneeze_006(559_sneeze_burst_chat):{user_addr}估计是过敏了
[48] mn_yeshen_005 | file=418_midnight_chat.yaml | intent=playful | kws=['想事情', '胡思乱想', '越想越多', '脑子停不下', '深夜emo'] | utt=['老是胡思乱想', '越想越多', '脑子停不下来'] | sibs=ln_late_thinking_002(187_late_night):想事情 | dtc_dream_010(670_dream_talk_chat):失眠{user_addr} | wdn_shenmou_002(005_what_doing_now):在想啥 | lnc_insomnia_001(484_late_night_chat):又失眠了 | lno_xinshi_006(002_late_night_owl):想太多睡不着 | ni_xiangshi_001(064_night_insomnia_chat):想事情
[49] eh_awsl_001 | file=052_emoji_heihei_laugh.yaml | intent=playful | kws=['awsl', '啊我死了', '啊啊啊', '太可爱', '萌死'] | utt=['awsl', '啊我死了', '啊啊啊'] | sibs=er_awsl_004(158_emoji_reactions):awsl | er_er_awsl_004(229_emoji_react):awsl | ab_awsl_001(403_awsl_burst):awsl | res_awsl_001(358_random_emoji_spam):awsl | te_awsl_005(191_text_emoji):awsl | aco_awsl_001(334_awsl_cute_overload):awsl
[50] tw_yundong_001 | file=057_tease_master_weight.yaml | intent=question | kws=['跑步减肥', '跳绳', '健身房', 'hiit', '有氧'] | utt=['跑步减肥', '跳绳', '健身房'] | sibs=mgf_fat_009(478_master_getting_fat):{user_addr}运动减 | wli_yundong_001(743_weekend_lazy_idea):运动出汗 | fitness_workout_001(91_health_fitness):健身有用吗 | qwo_gym_visit_011(834_quick_workout):{user_addr}去健身房 | wd_yundong_009(290_what_doing_now):在跑步 | el_exercise_001(216_exercise_lazy):要锻炼
