0 fmn_wifi_001 | 542_full_moon_night.yaml | playful | 信号差,wifi慢,网卡,没信号,4g掉
24 yw_cold_face_001 | 937_yawn_sleepy_chat.yaml | playful | 冷水洗脸,醒神,拍脸,凉水,唤醒
25 nb_wu_xiangshui_010 | 221_noon_break.yaml | playful | 想睡,好想睡,睁不开眼,眯眼,眼皮打架
26 tos_called_001 | 112_takeout_slow.yaml | complaint | 打电话催,催外卖,催小哥,催了一遍,联系不上
27 dr_chuanyi_001 | 300_dress_warm_care.yaml | question | 穿暖了吗,穿够吗,衣服够,别冻着,加衣服
28 fm_qixi_002 | 175_festival_moment.yaml | playful | 七夕,情人节,七夕节,情侣节,鹊桥
29 ofs_meetingboring_001 | 500_office_slack.yaml | complaint | 开会无聊,会议困,会无聊,三小时会议,听不进
30 fdc_fish_002 | 350_fish_dry_crave.yaml | playful | 想吃鱼,吃鱼,鱼好香,鱼料理,大鱼
31 brk_ate_yesterday_001 | 922_broke_wallet_cry.yaml | complaint | 昨天大吃,后悔,今天吃土,一顿吃光,工资没了
32 oj_tu_001 | HHH6_outfit_judged.yaml | 土 | 土,穿得土,土气,老土,太土了
33 ros_rewatch_005 | 569_rewatch_old_show.yaml | playful | 经典,二刷,老剧,重温,百看不厌
34 pr_ma_duiyou_001 | GGG8_pvp_rage.yaml | complaint | 骂队友,队友太菜,队友坑,猪队友,队友演
35 wdn_basic_001 | 081_what_doing_now.yaml | question | 在干嘛,在干什么,干嘛呢,做什么呢,在忙啥
36 fs_xuelu_001 | 891_first_snow_excite.yaml | complaint | 雪天滑,路滑,摔倒了,走路小心,防滑
37 lld_bengbuzhu_002 | 029_lol_dying.yaml | playful | 蚌埠住,绷不住,蚌住,没绷住,崩了
38 trr_chejie_010 | 017_take_rest_remind.yaml | playful | 闭眼一会,眯一下,趴桌子,趴一会,偷睡
39 whp_pat_003 | 476_want_headpat_beg.yaml | playful | 摸尾巴,揉尾巴,摸尾,拽尾巴,玩尾巴
40 fmm_five_011 | 550_five_more_minutes.yaml | playful | 再五分钟,赖床,闹钟关,再睡会,五分钟
41 nbc_zhongwu_001 | 353_noon_break_chat.yaml | question | 中午好,午安,中午吃了,午饭呢,午餐
42 dts_exercise_001 | 969_diet_struggle.yaml | playful | 运动,跑步,健身,锻炼,跳操
43 tsw_less_sugar_001 | XX8_too_sweet.yaml | playful | 少糖,三分糖,半糖,微糖,不要太甜
44 bpc_bus_011 | 571_bus_packed_chat.yaml | complaint | 公交,挤,沙丁鱼罐头,上不去,挤死了
45 bf_anxiety_001 | MMM8_burnout_founder.yaml | complaint | 焦虑爆表,焦虑死了,心慌,喘不过气,焦虑
46 kj_jinbu_003 | 297_kuajiang_praise_beg.yaml | playful | 进步了,比之前好,有进步,提升了,变好了
47 sep_beibu_001 | 738_study_exam_panic.yaml | complaint | 背书背不下,记不住,背完忘,反复背,死记
48 wd_wif_008 | 593_wifi_disconnect_rage.yaml | complaint | 信号弱,信号差,信号格少,角落没信号,死角
49 lcx_xs_001 | 362_laugh_cry_xs.yaml | playful | xs,笑死,笑哭,笑出眼泪,大笑
50 nl_dunwu_003 | 287_noon_lunch_break.yaml | complaint | 困死了,中午犯困,午饭后困,打瞌睡,撑不住
51 lip_pn_011 | 768_lost_item_panic.yaml | complaint | 好心情没了,一天毁了,倒霉,水逆,哎一天
52 sy_shuile_010 | 424_sleep_yet.yaml | playful | 起夜,上厕所,喝口水,翻个身,不舒服
53 ch_yiwu_001 | 048_cold_hands_feet.yaml | question | 秋裤,保暖内衣,加绒裤,法兰绒,摇粒绒
54 dr_naiguo_007 | 300_dress_warm_care.yaml | complaint | 感冒了,流鼻涕,咳嗽,喉咙痛,头疼
55 hw_shipin_001 | 898_heat_wave_die.yaml | question | 食欲差,没胃口,太热不想吃,凉面,凉皮
56 nl_wuxiu_001 | 287_noon_lunch_break.yaml | playful | 午休,午睡,睡午觉,中午休息,午觉
57 rd_shenmeipilao_001 | Y9_relationship_doubts.yaml | complaint | 审美疲劳,看腻了,看 ta 没感觉了,看习惯了,一点新鲜感没了
58 ss_ss_aoye_003 | 235_study_scene.yaml | complaint | 熬夜,通宵,复习到天亮,熬夜复习,通宵复习
59 bof_break_time_001 | 083_busy_or_free.yaml | playful | 休息时间,喘口气,休息一会,短暂休息,偷个闲
60 to_old_007 | 194_tease_owner.yaml | playful | 老了,中年,油腻,沧桑,衰老
61 hmt_christmas_001 | 496_holiday_moment.yaml | playful | 圣诞,圣诞节,圣诞快乐,圣诞老人,圣诞树
62 sl_qingtian_001 | 895_sunny_lazy_chat.yaml | playful | 晴天,大晴天,阳光好,蓝天白云,天气好
63 dp_social_avoid_001 | III9_diet_pressure.yaml | complaint | 社交怕去,不想出门,怕被看,聚会不想去,出门尴尬
64 chf_chime_001 | 514_chat_filler.yaml | playful | 我说,我跟你说,听我说,跟你讲,我告诉你
65 sp_chenggong_001 | 047_emotion_seek_praise.yaml | playful | 完成了,搞定了,做完了,解决了,通过了
66 cf_sle_011 | 584_cant_fall_asleep.yaml | complaint | 噪音,邻居吵,装修扰民,楼上响,睡觉吵
67 cc_yiyuan_001 | 041_catch_a_cold_sick.yaml | complaint | 去医院,挂号,看医生,输液,打针
68 lnd_mouth_addict_001 | XX6_late_night_drink.yaml | complaint | 嘴瘾,嘴馋,嘴巴痒,不吃难受,手贱想吃
69 cf_zhuyilihuansan_001 | X5_cant_focus.yaml | complaint | 注意力涣散,注意力不集中,集中不了,脑子飘,走神
70 ct_duche_001 | 316_commute_traffic.yaml | complaint | 堵车,堵死,堵成狗,堵了一个小时,又堵
71 pec_pet_009 | 674_pet_envy_chat.yaml | question | 你的领养,流浪猫,救助,毛孩子,缘分
72 bm_chiedao_001 | 811_bus_missed_run.yaml | complaint | 迟到了,上班晚了,老板要骂,迟到挨骂,全勤没了
73 mid_snk_001 | 749_midnight_snack_crave.yaml | complaint | 深夜饿,半夜想吃,凌晨饿,肚子叫了,想吃宵夜
74 wc_wuwu_001 | 404_wuwu_cry.yaml | complaint | 呜呜,呜呜呜,嘤嘤,嘤嘤嘤,哭哭
75 wdr_qishui_001 | 367_water_drink_remind.yaml | question | 气泡水,苏打水,矿泉水,自来水,瓶装水
76 mto_wantmilktea_001 | 624_milk_tea_obsession.yaml | playful | 想喝奶茶,奶茶续命,来杯奶茶,奶茶上瘾,馋奶茶
77 bk_xiqing_001 | 039_bored_killing_time.yaml | playful | 追剧,看剧,电视剧,综艺,综艺节目
78 jwg_zaocan_001 | 356_just_wake_groggy.yaml | question | 早餐吃啥,早上吃啥,早餐推荐,来一份,想吃啥
79 wwr_outside_008 | 328_wear_warm_remind.yaml | complaint | 外面太冷,风太大,寒风,降温了,一夜降温
80 wn_xiangwen_010 | 289_where_are_you_now.yaml | playful | 想你了,想笨猫,笨猫想你,想见你,一直想
81 aytp_zaijiama_001 | 357_are_you_there_ping.yaml | question | 在家吗,在公司吗,在哪,现在哪里,在外面
82 edc_energy_002 | 565_energy_drink_chat.yaml | complaint | 睡不着,太甜,上瘾,太多咖啡因,心跳
83 ci_foreign_moon_round_001 | EEE7_cultural_inferiority.yaml | playful | 外国月亮圆,月亮圆,国外好,国外什么都好,外国香
84 gg_kaihei_001 | 071_game_gacha_pull.yaml | playful | 开黑,排位,双排,五排,黑车
85 stl_stretch_001 | 649_stretch_lazy_chat.yaml | playful | 伸懒腰,懒得动,瘫,躺平,不想动
86 hd_zuomeng_001 | 277_had_dream.yaml | playful | 做梦了,做了梦,梦境,梦里,做梦中
87 ewc_eat_004 | 468_eat_well_care.yaml | playful | 挑食,偏食,只吃肉,不吃菜,嫌弃
88 mrn_make_wish_005 | 348_moon_round_night.yaml | playful | 许愿,月亮许愿,流星许愿,星星许愿,心愿
89 sa_blush_001 | MM9_socially_awkward.yaml | playful | 脸红,我脸红了,一说话就脸红,害羞脸红,红到耳根
90 hf_want_spicy_001 | S6_hungry_food.yaml | playful | 想吃辣,馋辣的,馋辣条,想吃辣的,辣味
91 rdp_sp_010 | 757_red_packet_surprise.yaml | complaint | 发了又收回,抠回去,假红包,玩弄感情,心碎
92 ws_ws_zuobu_008 | 236_work_slack.yaml | playful | 开会,开会中,会太长,枯燥,会议
93 psych_emotion_001 | D0_psychology_deep.yaml | question | 推荐情绪管理,推荐情商,推荐 eq,情绪控制,笨猫情商
94 sn_body_warning_001 | DDD6_self_neglect.yaml | complaint | 身体警告,身体抗议,撑不住了,快倒下了,透支
95 bca_jiujie_001 | TT9_buying_car_anxiety.yaml | complaint | 纠结,选不出来,拿不定主意,太难选,选哪个好
96 mgf_fat_008 | 478_master_getting_fat.yaml | playful | 吃太多了,暴饮暴食,吃货长肉,嘴馋,撑饱
97 hhg_pushiang_007 | 019_hehe_giggle.yaml | playful | 扑街,笑趴,笑瘫,笑倒,瘫了
98 dcs_sleep_001 | 974_dark_circles_sigh.yaml | complaint | 失眠黑眼圈,熬夜眼,睡不好,晚睡黑眼,凌晨睡
99 tts_tea_003 | 553_tea_time_sip.yaml | playful | 抿一口,茶香,暖暖,下午茶,小口喝
100 pb_qiukua_006 | 394_praise_beg.yaml | playful | 瘦了,变好看了,皮肤好了,状态好,越来越靓
101 ogc_lijinhui_001 | 379_office_gossip_chat.yaml | playful | 离婚,离职,跳槽,跑路,转岗
102 nc_blue_001 | 127_need_comfort.yaml | complaint | emo,抑郁,低落,丧,蓝色
103 epl_aimei_003 | 018_eat_properly.yaml | complaint | 减肥,节食,不吃了,控制饮食,减脂
104 bm_lazu_001 | 282_birthday_moment.yaml | playful | 蜡烛,吹蜡烛,许愿,蜡烛许愿,数蜡烛
105 ay_zai_zaigan_003 | 222_are_you_there.yaml | question | 在干嘛,干啥呢,忙啥,做啥,在做什么
106 sh_xiaoxing_005 | 416_small_happy.yaml | playful | 遇到好天气,阳光真好,微风正好,温度刚好,好天气
107 ms_half_sugar_002 | 693_milk_tea_sugar.yaml | playful | 半糖,五分糖,半糖刚好,中度甜,五分
108 wv_huanghun_001 | 045_window_view_outside.yaml | playful | 黄昏,夕阳,日落,晚霞,余晖
109 nf_wan_shimian_004 | 220_night_farewell.yaml | complaint | 失眠,睡不着,数羊,脑子停不下,翻来覆去
110 myw_morning_brain_fog_005 | 814_morning_first_yawn.yaml | complaint | 脑子糊,没清醒,一片空白,反应慢,没开机
111 sn_no_water_001 | DDD6_self_neglect.yaml | complaint | 一天不喝水,没喝水,忘记喝水,滴水未进,一口水都没
112 ssc_liuxing_001 | 374_starry_sky_chat.yaml | playful | 流星,流星雨,许愿,看流星,流星划过
113 sh_xiaoxin_001 | 046_small_happy_moment.yaml | playful | 小确幸,小开心,小惊喜,小幸福,一点点开心
114 tf_yetan_001 | 270_tease_fat.yaml | playful | 夜宵,半夜吃,宵夜罪过,半夜面,半夜烤串
115 wp_am_i_good_001 | T8_wanting_praise.yaml | playful | 我棒不棒,我棒不,我是不是很棒,我表现好不好,棒不棒
116 ewb_laughdie_007 | 635_emoji_war_battle.yaml | playful | 笑死,笑哭,我裂开了,笑出鹅叫,笑出腹肌
117 ay_chile_001 | 423_ate_yet.yaml | question | 吃了吗,吃饭没,吃啥了,吃过了吗,吃饱了吗
118 wtc_fog_001 | 503_weather_chat.yaml | complaint | 雾霾,大雾,看不清,戴口罩,雾天
119 tkf_slipfinger_006 | 632_typo_keyboard_fail.yaml | playful | 手滑,发错了,手抖,误触,误发
120 sb_diaqilu_001 | 812_subway_crowded_squish.yaml | complaint | 地铁挤,挤成肉饼,挤死了,沙丁鱼罐头,地铁太满
121 philosophy_happiness_001 | A2_philosophy_life.yaml | question | 怎么快乐,怎么幸福,推荐快乐,不开心,快乐方法
122 wm_chamou_001 | 073_work_slack_moyu.yaml | complaint | 老板查岗,领导来,突然查,被抓,被发现
123 nb_wuxiu_004 | 386_noon_break.yaml | playful | 中午吃饱,撑着了,吃太多,饱腹感,走两步消化
124 cnl_cup_008 | 566_cup_noodle_late.yaml | complaint | 吃多了,油大,怕胖,太咸,不健康
125 fbc_full_009 | 667_full_belly_chat.yaml | complaint | 吃饱想睡,饭后躺,瘫沙发,睡一觉,躺平
126 wr_drink_water_001 | 156_water_reminder.yaml | question | 喝水,喝了水,多喝水,喝水了吗,水
127 sr_xiangnian_001 | 281_shovel_return.yaml | playful | 想你了,想笨猫了,一天没见,想我吗,我想你
128 jpt_other_friend_001 | 093_jealous_pout.yaml | complaint | 跟朋友玩,别的朋友,出去玩,跟朋友聚,朋友聚会
129 bp_depressed_001 | Y8_breakup_pain.yaml | complaint | 一蹶不振,站不起来,起不来,没动力,颓废
130 hf_craving_001 | S6_hungry_food.yaml | complaint | 嘴馋,嘴馋了,馋虫,馋哭了,嘴巴馋
131 dw_chaye_005 | 299_drink_water_care.yaml | playful | 喝茶,泡茶,茶水,茶叶,泡一杯
132 bm_dage_001 | 993_random_burp_moment.yaml | playful | 打嗝,嗝,一直嗝,嗝停不下来,突然打嗝
133 gmd_zaoan_001 | 516_good_morning_drowsy.yaml | playful | 早,早安,早上好,起床了,醒了
134 hp_hug_001 | 157_hug_petting.yaml | playful | 抱抱,抱一下,求抱抱,想被抱,抱紧
135 whp_pat_010 | 476_want_headpat_beg.yaml | playful | 摸肚子,揉肚,摸毛肚,戳肚子,顺肚
136 stc_lol_005 | 660_smile_til_cry_chat.yaml | complaint | 笑岔气,肚皮抽,笑到抽,缓不过,停不下
137 srn_lost_voice_009 | 838_sneeze_runny_nose.yaml | complaint | 嗓子哑了,说不出话,失声,嗓子疼,声音嘶哑
138 nc_lonely_008 | 197_night_chat.yaml | complaint | 孤单,寂寞,一个人,没人陪,夜深孤独
139 ptb_no_reply_strategy_002 | 837_pretend_busy.yaml | playful | 冷处理,不秒回,故意慢回,控制频率,钓鱼
140 csa_crisp_004 | 567_crisp_snack_attack.yaml | complaint | 太咸,空气包装,胖了,手油,渣多
141 rgv_unfair_001 | 118_random_grievance.yaml | complaint | 不公平,凭什么我,凭啥这样,受委屈,不平
142 res_wuwu_001 | 358_random_emoji_spam.yaml | complaint | 呜呜,呜呜呜,哭哭,555,哭了
143 mn_yeshen_010 | 418_midnight_chat.yaml | playful | 安静,整个世界安静,听见心跳,只有我俩,静悄悄
144 ayt_dead_air_001 | 518_are_you_there_ping.yaml | complaint | 没人理我,群里死了,静悄悄,没人说话,死群
145 ap_hearing_loss_001 | NNN5_aging_parent.yaml | complaint | 听力下降,耳朵不好,听不清,耳背,喊好几遍
146 nt_nt_anye_003 | 242_night_topic.yaml | playful | 安静,夜深,深夜,凌晨,夜里
147 drc_nightmare_scary_011 | 832_dream_recall.yaml | complaint | 噩梦吓人,鬼梦,血腥梦,心慌,梦中惊醒
148 gg_team_dragger_009 | 201_gacha_game.yaml | complaint | 队友拖,猪队友,演员,挂机,神级队友
149 wli_dapaomimaomao_001 | 743_weekend_lazy_idea.yaml | playful | 逛街,商场,买东西,购物,血拼
150 sr_leg_sore_001 | RR6_sore_recovery.yaml | complaint | 腿酸,腿疼,大腿酸,小腿疼,腿废了
151 wdr_shuibei_001 | 367_water_drink_remind.yaml | question | 水杯,保温杯,玻璃杯,喝水容器,杯子
152 rd_caihong_001 | 890_rainy_day_mood.yaml | playful | 彩虹,雨后彩虹,看到彩虹,双彩虹,美爆
153 gn_sweet_dream_002 | 185_goodnight_chat.yaml | playful | 做好梦,美梦,梦见我,好梦,美梦成真
154 mw_morning_drink_011 | 153_morning_wakeup.yaml | question | 喝水,喝咖啡,喝奶,喝豆浆,喝什么
155 ct_motion_sick_011 | 166_commute_tired.yaml | complaint | 车上头晕,晕车,反胃,车里不舒服,想吐
156 ss_dami_001 | 072_study_exam_stress.yaml | complaint | 大题难,题难,难题,不会做,卡住
157 nht_overtime_001 | DD7_no_hobby_time.yaml | complaint | 加班太多,天天加班,加班到深夜,加班加到吐,996
158 ct_tongqin_002 | 442_commute_tired.yaml | complaint | 挤地铁,挤公交,没座位,被挤扁,地铁人多
159 stm_bath_001 | 935_stomach_hurt_chat.yaml | complaint | 冲个澡,暖暖,热敷,趴着,抱热水袋
160 fb_lianhong_001 | 433_flirt_back_blush.yaml | playful | 你脸红了,害羞了,脸红到耳朵,红透了,怎么红了
161 te_hng_003 | 191_text_emoji.yaml | playful | 哼,哼唧,哼哧,哼哼,鼻孔哼
162 bd_lianhong_009 | 399_blush_dodge.yaml | playful | 傻笑,偷笑,嘿嘿笑,抿嘴笑,笑出鹅叫
163 shs_yangguang_001 | 383_small_happiness_share.yaml | playful | 阳光好,天气好,阳光晒,阳光普照,阳光暖
164 complaint_rain_001 | 50_complaint.yaml | complaint | 下雨烦,雨好大,连续下雨,阴天烦
165 cw_cold_007 | 653_cold_winter_chat.yaml | complaint | 静电,起静电,电到,毛炸,啪
166 dwr_thirsty_002 | 327_drink_water_remind.yaml | complaint | 渴死了,好渴,嘴巴干,嗓子哑,缺水
167 hw_yexieng_001 | 898_heat_wave_die.yaml | complaint | 夜里热睡不着,开空调睡,睡到醒,热醒,失眠
168 esc_eye_009 | 558_eye_strain_chat.yaml | complaint | 干涩,酸胀,眼睛酸,看屏幕,视疲劳
169 wcm_comfort_002 | 462_want_comfort.yaml | complaint | 心累,累惨,心碎,难过,心疼自己
170 lr_jieshi_001 | 881_late_reply_apologize.yaml | question | 刚才在忙,没空回,在开会,上班中,没注意
171 noon_lunch_009 | 452_noon_lunch_break.yaml | complaint | 外卖好慢,等外卖,饭还没到,饿死了,外卖迟到
172 em_dawn_011 | 186_early_morning.yaml | playful | 天亮了,黎明,破晓,鸟叫,天蒙蒙亮
173 blp_battery_005 | 575_battery_low_panic.yaml | complaint | 找充电,电量低,1%,没电,充电器
174 emr_yingying_001 | 488_emoji_reactions.yaml | complaint | 嘤嘤,嘤嘤嘤,委屈,嘤,嘤呜
175 ld_avoid_people_001 | LL5_lonely_depression.yaml | complaint | 谁也不想见,不想见人,不想理人,不想说话,谁都不想见
176 bd_lianhong_010 | 399_blush_dodge.yaml | playful | 假冷淡,假装平静,假装不在乎,假装没事,装淡定
177 phn_drop_006 | 852_phone_dropped.yaml | complaint | 手机卡顿,卡死,反应慢,手机老化,卡到爆
178 bws_aloneme_009 | 639_birthday_wish_sweet.yaml | complaint | 一个人过生日,没人陪,孤独生日,自己过,没人记得
179 fss_jiankang_001 | 745_first_snow_season.yaml | complaint | 换季感冒,过敏鼻炎,干燥,嘴唇起皮,皮肤痒
180 mn_yeshen_009 | 418_midnight_chat.yaml | complaint | 睡不着觉,翻身,数羊,失眠焦虑,闭眼也睡不着
181 sb_no_breakfast_001 | ZZ5_skip_breakfast.yaml | complaint | 不吃早餐,没吃早饭,早餐跳过,没吃早点,早饭省了
182 pt_xiaodonghaowu_001 | 988_pet_treats_moment.yaml | playful | 罐头,主食罐,妙鲜包,湿粮包,罐罐
183 wt_snow_001 | 143_weather_chat.yaml | playful | 下雪,雪花,大雪,看雪,雪景
184 emr_awsl_001 | 488_emoji_reactions.yaml | playful | awsl,啊我死了,awl,死了,萌死
185 pay_bigplan_001 | 921_payday_excited.yaml | playful | 发奖金,年终奖,红包,大笔钱,一大笔
186 swc_sunbathe_009 | 580_sunbathe_window_chat.yaml | playful | 眯眼,懒洋洋,晒太阳,窗台,暖洋洋
187 sn_fashao_001 | 789_sneeze_cold_catch.yaml | complaint | 发烧,体温高,烧起来,烫额头,低烧
188 csa_double_face_001 | 545_cold_shoulder_act.yaml | playful | 口是心非,表里不一,嘴上心里,心口不一,反着说
189 cw_qiuku_001 | 049_care_dress_warm.yaml | playful | 秋裤,穿秋裤,暖腿,保暖裤,棉裤
190 maa_overslept_002 | 343_morning_alarm_anger.yaml | complaint | 睡过头,又睡过头,睡晚了,没听见闹钟,晚起
191 ps_low_salary_001 | GG8_paycheck_struggle.yaml | complaint | 工资低,工资少,赚得少,工资太低,钱少
192 cnl_cup_012 | 566_cup_noodle_late.yaml | complaint | 不健康,吃多了,油大,怕胖,太咸
193 afc_flirt_009 | 677_ambiguous_flirt_chat.yaml | playful | 手,牵手,十指相扣,握住,牵着
194 esw_elevator_009 | 570_elevator_stuck_wait.yaml | complaint | 满员,等半天,等电梯,卡住,好慢
195 za_zaoan_001 | 285_zaoan_morning_greeting.yaml | playful | 早安,早,早上好,起床,早呀
196 tb_unfriend_001 | JJJ9_travel_buddy.yaml | complaint | 回家就 unfriend,拉黑,删好友,回去就断,再不联系
197 sc_koushixin_001 | 284_suddenly_cold.yaml | complaint | 口是心非,心口不一,表里不一,说一套做一套,嘴说不要
198 lbl_lt_011 | 780_litter_box_litter.yaml | complaint | 太累了,主人放下包,瘫沙发,不能动,笨猫照顾
199 pw_zoulu_008 | 298_peiwan_company.yaml | playful | 散步,陪我走,出去走走,散散心,走一走
200 hic_breath_001 | 947_hiccup_giggle.yaml | question | 屏住呼吸,闭气,屏息,数十秒,憋气
201 hf_so_hungry_001 | S6_hungry_food.yaml | complaint | 好饿,饿死了,我饿了,饿哭了,肚子饿
202 gnr_finalmiss_001 | 515_goodnight_routine.yaml | playful | 想你,睡前想你,想念,临睡想,念你
203 bpc_bus_008 | 571_bus_packed_chat.yaml | playful | 摇晃,站不稳,到站,让座,刷卡
204 dtc_dream_002 | 670_dream_talk_chat.yaml | complaint | 噩梦,吓醒,做了噩梦,出冷汗,心跳
205 wwc_wuwu_001 | 530_wuwu_crying.yaml | complaint | 呜呜,呜呜呜,哭啦,抽泣,泣不成声
206 psk_outfit_001 | 525_praise_seeking.yaml | playful | 穿搭,今天好看,穿搭满分,衣服好看,搭配
207 dln_weird_dream_001 | 119_dream_last_night.yaml | playful | 奇怪的梦,怪梦,离谱梦,离谱情节,梦境奇怪
208 dfb_renshu_001 | 366_dodge_flirt_back.yaml | playful | 认输,算我输,我服了,服服服,投降
209 op_alarm_failed_009 | 704_oversleep_panic.yaml | complaint | 闹钟坏了,闹钟没响,闹钟失灵,设置错时间,闹钟问题
210 gcl_aiyu_001 | 498_gacha_luck.yaml | playful | 氪金,充钱,抽满,全力一搏,干就完
211 dw_chuannuan_001 | 430_dress_warm_remind.yaml | question | 穿暖了吗,加衣服,别冻着,穿厚点,多穿点
212 tw_tea_drink_too_010 | 692_tea_warm_cup.yaml | complaint | 茶喝多,厕所多,茶尿多,茶醉,失眠
213 res_awsl_001 | 358_random_emoji_spam.yaml | playful | awsl,啊我死了,太可爱了,萌死,蚌埠住
214 lnc_food_craving_001 | 517_late_night_chat.yaml | complaint | 半夜饿了,想吃宵夜,半夜想吃,嘴馋了,罪恶的零食
215 ros_rewatch_006 | 569_rewatch_old_show.yaml | question | 看什么,推荐,重温,怀旧,老电影
216 zpr_stk_011 | 870_zipper_stuck.yaml | complaint | 拉链生锈,旧拉链,拉链氧化,卡顿,拉链锈住
217 sla_wanan_003 | 007_sleepy_already.yaml | playful | 晚安,安,晚安好梦,晚安啦,晚安呀
218 fdc_cat_food_005 | 350_fish_dry_crave.yaml | playful | 猫粮,猫罐头,喂笨猫,给猫吃,猫零食
219 lc_cra_004 | 614_leg_cramp_pain.yaml | complaint | 缺钙,缺镁,营养缺乏,钙不够,喝牛奶
